quantity,band,network,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
auc_degree,theta,Vis,total,-0.214683954196064,-0.496569949544276,0.108165365167243,0.189370159688431,41,0.659160032263164,network,closed_aec
auc_degree,theta,Vis,social,-0.19112769166591,-0.477834312061381,0.132377819351781,0.243800102209194,41,0.659160032263164,network,closed_aec
auc_degree,theta,Vis,switching,-0.0600515254456432,-0.368590082428519,0.26040498143296,0.716494201400985,41,0.862660379514587,network,closed_aec
auc_degree,theta,Vis,detail,0.0786591487061983,-0.242891567185878,0.384635442554849,0.634086765355811,41,0.859085294998195,network,closed_aec
auc_degree,theta,Vis,communication,-0.182674365928103,-0.471046696410116,0.140973501889767,0.265673041197287,41,0.659160032263164,network,closed_aec
auc_degree,theta,Vis,imagination,-0.290032018276402,-0.554785186227416,0.0280580779446121,0.0732871691854892,41,0.384757638223819,network,closed_aec
auc_degree,theta,SomMot,total,0.119972558846482,-0.203243483588863,0.419611043320929,0.466928421975345,41,0.754268989344788,network,closed_aec
auc_degree,theta,SomMot,social,0.228085178936027,-0.0942177515871841,0.507112760316547,0.162553465495509,41,0.620658686437396,network,closed_aec
auc_degree,theta,SomMot,switching,0.163181110647331,-0.160610760752203,0.455263287198822,0.320912943882434,41,0.660124595311736,network,closed_aec
auc_degree,theta,SomMot,detail,-0.202184904000569,-0.486661345908066,0.121060468926881,0.217068911592803,41,0.659160032263164,network,closed_aec
auc_degree,theta,SomMot,communication,0.0220268842277828,-0.295549635024498,0.335219572240741,0.89411559922725,41,0.944462506058739,network,closed_aec
auc_degree,theta,SomMot,imagination,0.0933775729285923,-0.228888563186907,0.397197509654987,0.571796505378615,41,0.810482392695862,network,closed_aec
auc_degree,theta,DorsAttn,total,0.191424584801196,-0.132075039366645,0.478072082344876,0.243054633736273,41,0.659160032263164,network,closed_aec
auc_degree,theta,DorsAttn,social,-0.0167576614311991,-0.330532454220159,0.300352886174758,0.919349093491967,41,0.944462506058739,network,closed_aec
auc_degree,theta,DorsAttn,switching,0.168384453618903,-0.155393939039752,0.45949439690472,0.305510775116503,41,0.660124595311736,network,closed_aec
auc_degree,theta,DorsAttn,detail,0.262032602718156,-0.0583108277230878,0.533450851926388,0.107081515970131,41,0.499713741193945,network,closed_aec
auc_degree,theta,DorsAttn,communication,0.0351002209929839,-0.28356266562487,0.346782097389432,0.832002302233009,41,0.919581491941747,network,closed_aec
auc_degree,theta,DorsAttn,imagination,0.091660932826266,-0.230528661860163,0.395738211499183,0.578915994782759,41,0.810482392695862,network,closed_aec
auc_degree,theta,SalVentAttn,total,0.411816085934399,0.110674347038334,0.643698187271401,0.00919173912214621,41,0.19302652156507,network,closed_aec
auc_degree,theta,SalVentAttn,social,0.302885850809155,-0.0139718579592699,0.564464012399344,0.0608925484946786,41,0.384757638223819,network,closed_aec
auc_degree,theta,SalVentAttn,switching,0.297181718364171,-0.0202384464826635,0.560177708116838,0.0661697392511767,41,0.384757638223819,network,closed_aec
auc_degree,theta,SalVentAttn,detail,-0.159839021335851,-0.452538684303296,0.163951993039053,0.331057629947467,41,0.660124595311736,network,closed_aec
auc_degree,theta,SalVentAttn,communication,0.323664836417188,0.00906848596194122,0.579959758229382,0.0444322272339789,41,0.384757638223819,network,closed_aec
auc_degree,theta,SalVentAttn,imagination,0.438481386234384,0.142701831773326,0.662365145073065,0.0052356346480898,41,0.19302652156507,network,closed_aec
auc_degree,theta,Limbic,total,-0.311352848750508,-0.57080053632818,0.00462384888829756,0.0536815103190566,41,0.384757638223819,network,closed_aec
auc_degree,theta,Limbic,social,-0.319196588887151,-0.576643181467455,-0.00408560950256251,0.0476271401243188,41,0.384757638223819,network,closed_aec
auc_degree,theta,Limbic,switching,-0.176480637679747,-0.466051657796994,0.147240712064232,0.282497156684213,41,0.659160032263164,network,closed_aec
auc_degree,theta,Limbic,detail,-0.177884245394892,-0.467185241284985,0.145822726263795,0.278625196286718,41,0.659160032263164,network,closed_aec
auc_degree,theta,Limbic,communication,-0.067098659107874,-0.374688534243095,0.253796966613012,0.684848733031276,41,0.862660379514587,network,closed_aec
auc_degree,theta,Limbic,imagination,-0.0550108438438634,-0.364211621899515,0.265113224095403,0.739423182441075,41,0.862660379514587,network,closed_aec
auc_degree,theta,Cont,total,0.139444078824431,-0.184181967367363,0.43579264432719,0.397194246455445,41,0.695089931297029,network,closed_aec
auc_degree,theta,Cont,social,0.153885184095718,-0.169885954003151,0.447671304261289,0.349616585996248,41,0.660124595311736,network,closed_aec
auc_degree,theta,Cont,switching,-0.0602008500913399,-0.368719581059407,0.260265272100957,0.715818565380601,41,0.862660379514587,network,closed_aec
auc_degree,theta,Cont,detail,0.133362131758048,-0.190162107734468,0.430758797344972,0.418300032165976,41,0.702744054038839,network,closed_aec
auc_degree,theta,Cont,communication,0.1501745824899,-0.173572330076873,0.444628982155986,0.361496802194522,41,0.660124595311736,network,closed_aec
auc_degree,theta,Cont,imagination,-0.016210282355605,-0.330044656476846,0.300850938578789,0.921975303533531,41,0.944462506058739,network,closed_aec
auc_degree,theta,Default,total,-0.111221103680685,-0.412275670449844,0.211731597779009,0.500264712683654,41,0.773229874875031,network,closed_aec
auc_degree,theta,Default,social,-0.0569174775958537,-0.365869379876153,0.263334128363171,0.730722944569431,41,0.862660379514587,network,closed_aec
auc_degree,theta,Default,switching,-0.246435299107946,-0.521414701137641,0.0749120053035654,0.130444991739944,41,0.547868965307763,network,closed_aec
auc_degree,theta,Default,detail,-0.0413840369223748,-0.352306221874374,0.277765366375517,0.802477743207175,41,0.910920681478414,network,closed_aec
auc_degree,theta,Default,communication,-0.00868295740904011,-0.323319625163021,0.307682446559556,0.958160782168394,41,0.958160782168394,network,closed_aec
auc_degree,theta,Default,imagination,0.10732470560921,-0.215495138922171,0.408997146361128,0.51548658325002,41,0.773229874875031,network,closed_aec
auc_degree,alpha,Vis,total,0.103500209248106,-0.219179926975376,0.405771530555999,0.530648399498036,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Vis,social,0.0342576213125686,-0.284338261032953,0.346039717314992,0.835979544640528,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Vis,switching,0.0399076390281482,-0.279129548418717,0.351010259585679,0.80939195202718,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Vis,detail,-0.134601191949896,-0.431785833886057,0.188945732582525,0.413949639411601,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Vis,communication,0.261925747338601,-0.058425166487809,0.533368765863188,0.107229944486704,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Vis,imagination,0.135125213696234,-0.188431005847791,0.432219955115551,0.412117530314546,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SomMot,total,0.0696680142029393,-0.251380237882401,0.376905402571556,0.673438260524729,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SomMot,social,0.0584074305561373,-0.261942322981739,0.367163483803808,0.723947062165669,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SomMot,switching,0.0753375016086689,-0.246033332624542,0.381784678841516,0.648516596516678,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SomMot,detail,0.0138742689778901,-0.302974501557652,0.327961028737076,0.933191842539917,41,0.933191842539917,network,closed_aec
auc_degree,alpha,SomMot,communication,0.142086246291392,-0.181576540693892,0.437973726544875,0.388220828012609,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SomMot,imagination,-0.145360692873083,-0.440671923922545,0.178341309527119,0.377265977625939,41,0.911399180001604,network,closed_aec
auc_degree,alpha,DorsAttn,total,-0.225816550556717,-0.505333871074315,0.0965878053885737,0.166888301392044,41,0.911399180001604,network,closed_aec
auc_degree,alpha,DorsAttn,social,-0.110163411698027,-0.411386473040871,0.212754173244562,0.504374009002907,41,0.911399180001604,network,closed_aec
auc_degree,alpha,DorsAttn,switching,-0.0653882295227691,-0.373210803897239,0.255403573966188,0.692483330267172,41,0.911399180001604,network,closed_aec
auc_degree,alpha,DorsAttn,detail,-0.157545806287964,-0.450665998324326,0.166240330352577,0.338132249460275,41,0.911399180001604,network,closed_aec
auc_degree,alpha,DorsAttn,communication,-0.0320752545695991,-0.344115106530647,0.286345147127806,0.846299238572918,41,0.911399180001604,network,closed_aec
auc_degree,alpha,DorsAttn,imagination,-0.317111747613075,-0.575092790061859,-0.00176598899059364,0.0491799029541863,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SalVentAttn,total,-0.122096019817981,-0.421385024150809,0.201176569813593,0.45902183255978,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SalVentAttn,social,-0.0685120726183671,-0.375908478611319,0.252468009134118,0.678563053602861,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SalVentAttn,switching,-0.0480361167265377,-0.358130576324663,0.271602881357617,0.771515655208018,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SalVentAttn,detail,-0.0243494712837496,-0.337280665902444,0.293427329869975,0.883024161011419,41,0.92717536906199,network,closed_aec
auc_degree,alpha,SalVentAttn,communication,-0.122056544908805,-0.42135206692,0.201215019793794,0.459168155822759,41,0.911399180001604,network,closed_aec
auc_degree,alpha,SalVentAttn,imagination,-0.0899162696541024,-0.39425351616059,0.232193660535352,0.586192329003775,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Limbic,total,0.0798646703748125,-0.241749658921046,0.385668625487196,0.628882218258404,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Limbic,social,0.0149252901915957,-0.302019455424392,0.328898874689358,0.928143584307273,41,0.933191842539917,network,closed_aec
auc_degree,alpha,Limbic,switching,0.121116725243652,-0.202130143829903,0.42056718678764,0.462659212563262,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Limbic,detail,0.157960961142633,-0.165826316906157,0.451005213567767,0.336844636605805,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Limbic,communication,-0.20447786136394,-0.488484583288082,0.118702998579649,0.211789251283866,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Limbic,imagination,0.137262540873107,-0.186329747510493,0.433989179988426,0.404692821886523,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Cont,total,0.139782722956406,-0.183848286175458,0.436072386190302,0.396037478832679,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Cont,social,0.230357242904562,-0.091840441357684,0.508891963984077,0.158294277729496,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Cont,switching,-0.0653928826540795,-0.37321482610275,0.255399205679563,0.69246251965746,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Cont,detail,0.160449786339217,-0.163341938935885,0.453037012427534,0.329189002632808,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Cont,communication,-0.0645603067397714,-0.372494956289914,0.25618060645342,0.696189652457298,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Cont,imagination,0.101483702616717,-0.221119071863206,0.404067752947652,0.538729043177501,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Default,total,-0.0381740365062272,-0.349487003611609,0.280729743699514,0.8175289027472,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Default,social,-0.0777942962693449,-0.383893754929303,0.243710234157786,0.6378312932861,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Default,switching,-0.0539190967540283,-0.363261499189697,0.266130961894617,0.744419492325513,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Default,detail,0.262204658310564,-0.0581267049267301,0.533583013904256,0.106842848446432,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Default,communication,-0.351542091663459,-0.600461683647918,-0.0405133532821312,0.0281973221667854,41,0.911399180001604,network,closed_aec
auc_degree,alpha,Default,imagination,0.141997329769907,-0.181664294731127,0.437900383461594,0.38852086970698,41,0.911399180001604,network,closed_aec
auc_degree,beta,Vis,total,-0.0061717664065451,-0.321068995033454,0.30995427332674,0.970254597663283,41,0.995829694749021,network,closed_aec
auc_degree,beta,Vis,social,0.000865093168668762,-0.314743274198233,0.316301212953705,0.995829694749021,41,0.995829694749021,network,closed_aec
auc_degree,beta,Vis,switching,-0.252597182733987,-0.526182823918541,0.068374746471409,0.120799886943317,41,0.732550844471214,network,closed_aec
auc_degree,beta,Vis,detail,0.309708368696305,-0.00644377261065421,0.569572255321208,0.0550257541059657,41,0.685650058199342,network,closed_aec
auc_degree,beta,Vis,communication,-0.116876835013267,-0.417020707627665,0.206251616939755,0.478583727617549,41,0.867868014050385,network,closed_aec
auc_degree,beta,Vis,imagination,0.0609873829215458,-0.259529164139638,0.36940148735743,0.712263341675065,41,0.965001946785573,network,closed_aec
auc_degree,beta,SomMot,total,-0.170946210790503,-0.461572652815814,0.152818894401663,0.29810358435784,41,0.867868014050385,network,closed_aec
auc_degree,beta,SomMot,social,-0.144871552451498,-0.440269202974944,0.17882503697249,0.37889071004438,41,0.867868014050385,network,closed_aec
auc_degree,beta,SomMot,switching,0.233945056532168,-0.0880789394355087,0.51169666493334,0.151734494306055,41,0.732550844471214,network,closed_aec
auc_degree,beta,SomMot,detail,-0.307409116222411,-0.567852969286252,0.00898481769287881,0.0569501820321653,41,0.685650058199342,network,closed_aec
auc_degree,beta,SomMot,communication,-0.169111737737379,-0.460084738991103,0.154663329602479,0.303396076811132,41,0.867868014050385,network,closed_aec
auc_degree,beta,SomMot,imagination,-0.106823809949713,-0.40857511487892,0.215978260673663,0.517459985894627,41,0.867868014050385,network,closed_aec
auc_degree,beta,DorsAttn,total,-0.128806780126019,-0.42697630789703,0.194625536512253,0.43451416086273,41,0.867868014050385,network,closed_aec
auc_degree,beta,DorsAttn,social,0.00248319418459106,-0.313284721700823,0.317756686899835,0.988029785867183,41,0.995829694749021,network,closed_aec
auc_degree,beta,DorsAttn,switching,0.0333440149369292,-0.285178745673908,0.345234334756895,0.84029649810428,41,0.983573179509907,network,closed_aec
auc_degree,beta,DorsAttn,detail,-0.249165127703241,-0.52352918859455,0.0720192823220357,0.126103713316409,41,0.732550844471214,network,closed_aec
auc_degree,beta,DorsAttn,communication,-0.139338469350877,-0.435705392386688,0.184286013842361,0.397555394970949,41,0.867868014050385,network,closed_aec
auc_degree,beta,DorsAttn,imagination,-0.0138476162456491,-0.327937237952265,0.302998712197,0.933319895100979,41,0.995829694749021,network,closed_aec
auc_degree,beta,SalVentAttn,total,0.0324364721093365,-0.286013167361983,0.344433842417206,0.844589365066926,41,0.983573179509907,network,closed_aec
auc_degree,beta,SalVentAttn,social,-0.0212574676203645,-0.33453612034574,0.296252012566291,0.897794409770809,41,0.992299084483526,network,closed_aec
auc_degree,beta,SalVentAttn,switching,0.221975321128248,-0.100592448985863,0.502316438855238,0.174416867731241,41,0.732550844471214,network,closed_aec
auc_degree,beta,SalVentAttn,detail,-0.135827541545151,-0.432801576590635,0.187740856883574,0.409669264502998,41,0.867868014050385,network,closed_aec
auc_degree,beta,SalVentAttn,communication,0.0725724241114489,-0.248643528674421,0.379407128799777,0.660626154572403,41,0.965001946785573,network,closed_aec
auc_degree,beta,SalVentAttn,imagination,-0.0712570420761073,-0.378274674278443,0.249883596229952,0.666417106072498,41,0.965001946785573,network,closed_aec
auc_degree,beta,Limbic,total,0.186017180338152,-0.137580216130423,0.473734904408268,0.256873684974984,41,0.867868014050385,network,closed_aec
auc_degree,beta,Limbic,social,0.061071546609917,-0.259450374147351,0.36947443571779,0.71188326495648,41,0.965001946785573,network,closed_aec
auc_degree,beta,Limbic,switching,0.104180892007729,-0.218524782105008,0.406346176072585,0.527934117340274,41,0.867868014050385,network,closed_aec
auc_degree,beta,Limbic,detail,0.19990847300867,-0.123397346386098,0.484848794561663,0.222399624325876,41,0.849162201971528,network,closed_aec
auc_degree,beta,Limbic,communication,0.0327788290001529,-0.285698451041734,0.34473586941987,0.842969418721333,41,0.983573179509907,network,closed_aec
auc_degree,beta,Limbic,imagination,0.12787051193892,-0.195541255266914,0.426197592403722,0.437889238980316,41,0.867868014050385,network,closed_aec
auc_degree,beta,Cont,total,0.282318351362053,-0.0364510867084304,0.54894225071191,0.0816250069284931,41,0.685650058199342,network,closed_aec
auc_degree,beta,Cont,social,0.29055004910615,-0.0274928124684487,0.555176649772842,0.072752109361319,41,0.685650058199342,network,closed_aec
auc_degree,beta,Cont,switching,0.114599023558663,-0.208461086468561,0.415111638436117,0.487255915681861,41,0.867868014050385,network,closed_aec
auc_degree,beta,Cont,detail,-0.222256025162643,-0.502537174066378,0.10030015675739,0.173858611071146,41,0.732550844471214,network,closed_aec
auc_degree,beta,Cont,communication,0.521179228465575,0.246131570837306,0.718541951434344,0.000668916878929294,41,0.0280945089150303,network,closed_aec
auc_degree,beta,Cont,imagination,0.0716004514126618,-0.249559950971871,0.378570415041711,0.664903394423214,41,0.965001946785573,network,closed_aec
auc_degree,beta,Default,total,0.0278223455159018,-0.290248075121075,0.340356952749964,0.866481134330156,41,0.983573179509907,network,closed_aec
auc_degree,beta,Default,social,-0.0448959862416776,-0.355384179663883,0.274515167226684,0.786091091254002,41,0.983573179509907,network,closed_aec
auc_degree,beta,Default,switching,-0.101851291151803,-0.404378490735469,0.220765775597695,0.537251627745476,41,0.867868014050385,network,closed_aec
auc_degree,beta,Default,detail,0.145654585650424,-0.178050593790381,0.440913835683713,0.376291764886685,41,0.867868014050385,network,closed_aec
auc_degree,beta,Default,communication,0.132289487529797,-0.19121431219775,0.429869077730693,0.422086882432355,41,0.867868014050385,network,closed_aec
auc_degree,beta,Default,imagination,-0.0431470360972551,-0.353852198429806,0.276134678629965,0.794240758831072,41,0.983573179509907,network,closed_aec
auc_degree,gamma,Vis,total,-0.0450449773188271,-0.355514610347445,0.274377119078778,0.785397854762203,41,0.924690423716643,network,closed_aec
auc_degree,gamma,Vis,social,0.21060503930899,-0.11238550317704,0.493344451203338,0.198119678007995,41,0.816053780636721,network,closed_aec
auc_degree,gamma,Vis,switching,-0.293763151869408,-0.557602098930725,0.023982186089145,0.0695015190330914,41,0.631020266457969,network,closed_aec
auc_degree,gamma,Vis,detail,-0.148263057175544,-0.443059066700753,0.175467841495432,0.36771045370894,41,0.816053780636721,network,closed_aec
auc_degree,gamma,Vis,communication,0.0306884223588815,-0.287619016100973,0.342890706798064,0.852870384763886,41,0.924690423716643,network,closed_aec
auc_degree,gamma,Vis,imagination,0.0850778083578769,-0.236801333135032,0.390127692745739,0.606581256849606,41,0.924690423716643,network,closed_aec
auc_degree,gamma,SomMot,total,-0.0804560483511253,-0.386175181121187,0.241189161123148,0.626335516588421,41,0.924690423716643,network,closed_aec
