quantity,band,network,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
auc_degree,theta,Vis,total,-0.0400300391788827,-0.351117746126072,0.279016500411209,0.808818182093366,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Vis,social,0.0307038321835333,-0.287604867655306,0.342904317580296,0.852797314627569,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Vis,switching,-0.0826944735950071,-0.388090876832513,0.239065675465497,0.616734824538352,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Vis,detail,-0.199385532858696,-0.484432070517835,0.123933666265213,0.223636774066369,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Vis,communication,0.147737172510659,-0.175988899880058,0.44262684584138,0.369431026313294,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Vis,imagination,0.0131596220078841,-0.303623526518593,0.327322982040008,0.936625914244327,41,0.959470448738091,network,closed_dwpli
auc_degree,theta,SomMot,total,0.0523960245050163,-0.267549594322795,0.361934928191105,0.751406957798462,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SomMot,social,0.0144380245390432,-0.302462305033317,0.328464155393403,0.930483682656077,41,0.959470448738091,network,closed_dwpli
auc_degree,theta,SomMot,switching,0.128986652453235,-0.194449547481532,0.427125861167269,0.433867407398225,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SomMot,detail,0.212506450552279,-0.110419708642717,0.494849005205778,0.194006418350925,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SomMot,communication,-0.0595173212067814,-0.368126707063413,0.260904677333065,0.718913007591796,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SomMot,imagination,-0.242203532322807,-0.518130144337097,0.0793856252299201,0.137393143078429,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,DorsAttn,total,-0.0894483641398819,-0.393855061711796,0.232639879841837,0.588150679224127,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,DorsAttn,social,0.0572597660393117,-0.263014505378033,0.366166781462123,0.729164509060369,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,DorsAttn,switching,-0.0614853620350244,-0.369833052414468,0.259062918000009,0.710015506236421,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,DorsAttn,detail,0.119880254733402,-0.20333326438533,0.419533878713003,0.467273745546455,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,DorsAttn,communication,-0.109712650493864,-0.411007345575493,0.213189753834709,0.506130457455996,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,DorsAttn,imagination,-0.376454532545831,-0.618510409648782,-0.0691451244626319,0.0181717058707624,41,0.254403882190674,network,closed_dwpli
auc_degree,theta,SalVentAttn,total,-0.0772639899440162,-0.383438774815105,0.244211994189429,0.640131743908936,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SalVentAttn,social,-0.17587751078054,-0.465564267465759,0.14784960873207,0.284171618523905,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SalVentAttn,switching,-0.00605349103866627,-0.320962904124916,0.31006118585961,0.970824390752787,41,0.970824390752787,network,closed_dwpli
auc_degree,theta,SalVentAttn,detail,0.135981602904072,-0.187589424321784,0.432929126962997,0.409133328681569,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SalVentAttn,communication,-0.0561658512467726,-0.365216098460523,0.26403573733385,0.734148825200932,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,SalVentAttn,imagination,-0.113824095873555,-0.414461555601167,0.209212012751043,0.490224688818751,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Limbic,total,0.0243566301976352,-0.293420783439447,0.337287014180483,0.882990006724047,41,0.950912314933589,network,closed_dwpli
auc_degree,theta,Limbic,social,-0.09536661649698,-0.398886455951489,0.226985916074332,0.56359755061566,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Limbic,switching,-0.0386579955955365,-0.349912407203521,0.280283205395337,0.815255424251889,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Limbic,detail,0.0424231724082329,-0.276804439530397,0.353217646671234,0.79762014647812,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Limbic,communication,-0.107669711135888,-0.409287757002806,0.21516228372055,0.514129530364443,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Limbic,imagination,0.388181043612341,0.0827999063952778,0.626918610950772,0.0146090245444345,41,0.254403882190674,network,closed_dwpli
auc_degree,theta,Cont,total,-0.0444989879266543,-0.35503657791852,0.274882942984595,0.787939066532244,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Cont,social,0.032958207193377,-0.285533527719434,0.3448940909504,0.842120900252334,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Cont,switching,-0.0343462050208128,-0.346117783162002,0.284256741191087,0.835561220485092,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Cont,detail,0.0653461837479099,-0.255443045285712,0.373174458654093,0.692671385385995,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Cont,communication,-0.075881914388845,-0.382252314424926,0.245518864459328,0.646142701123641,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Cont,imagination,-0.16997916221597,-0.460788497837097,0.153791475747119,0.300886124088272,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Default,total,0.178524463492335,-0.145175508002663,0.467701979403612,0.276870657945319,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Default,social,0.04414512227921,-0.275210682255591,0.354726669656472,0.78958723053367,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Default,switching,0.141348739998027,-0.182304249009091,0.43736527289176,0.390713576779366,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Default,detail,-0.0973773658295552,-0.400591742630381,0.225060001677405,0.55536477485734,41,0.942565453009418,network,closed_dwpli
auc_degree,theta,Default,communication,0.038939078390852,-0.28002379315985,0.350159422127064,0.813935674032997,41,0.942565453009418,network,closed_dwpli
