quantity,band,aqvar,node,roi,r,ci_lo,ci_hi,p,n,q4,level
auc_degree,theta,imagination,8,7Networks_LH_Vis_8,-0.250557395081516,-0.524606319780781,0.0705418519603659,0.123931559383298,41,0.679213549561107,node
auc_degree,theta,total,9,7Networks_LH_Vis_9,-0.170859765082873,-0.461502574680468,0.15290586022359,0.298351646172593,41,0.793221453428515,node
auc_degree,theta,social,9,7Networks_LH_Vis_9,-0.230934080484143,-0.509343294432228,0.0912362984083994,0.157225959457757,41,0.679213549561107,node
auc_degree,theta,switching,9,7Networks_LH_Vis_9,-0.0418321633987568,-0.352699345542454,0.277351045631963,0.800381998899048,41,0.940850115538168,node
auc_degree,theta,detail,9,7Networks_LH_Vis_9,0.188830966450567,-0.134718046224436,0.475993532655758,0.249618967447475,41,0.720778208058139,node
auc_degree,theta,communication,9,7Networks_LH_Vis_9,-0.173730541191313,-0.463827861703126,0.15001512728593,0.290184423084771,41,0.793221453428515,node
auc_degree,theta,imagination,9,7Networks_LH_Vis_9,-0.251067477998244,-0.525000727240415,0.0700002151598583,0.123142797385706,41,0.679213549561107,node
auc_degree,theta,total,10,7Networks_LH_SomMot_1,0.0541941491855229,-0.265874622427573,0.363500931722843,0.743159751386774,41,0.97006452300739,node
auc_degree,theta,social,10,7Networks_LH_SomMot_1,0.190763792486237,-0.132748851658057,0.477542821903679,0.244715914303801,41,0.97006452300739,node
auc_degree,theta,switching,10,7Networks_LH_SomMot_1,0.0798057733614115,-0.2418054687406,0.385618166075173,0.629136084108325,41,0.97006452300739,node
auc_degree,theta,detail,10,7Networks_LH_SomMot_1,-0.129771968372213,-0.427778614181425,0.193680941905246,0.431049963490474,41,0.97006452300739,node
auc_degree,theta,communication,10,7Networks_LH_SomMot_1,0.0636387624984387,-0.257045018523569,0.371697729507928,0.700323277882439,41,0.97006452300739,node
auc_degree,theta,imagination,10,7Networks_LH_SomMot_1,-0.127877958635506,-0.426203787734944,0.195533974236364,0.437862338075383,41,0.97006452300739,node
auc_degree,theta,total,11,7Networks_LH_SomMot_2,0.280684461147774,-0.0382231206417492,0.54770126101696,0.083482258678015,41,0.97006452300739,node
auc_degree,theta,social,11,7Networks_LH_SomMot_2,0.323508926329125,0.00889435551806228,0.57984417614348,0.0445407096760008,41,0.97006452300739,node
auc_degree,theta,switching,11,7Networks_LH_SomMot_2,0.341964486439003,0.0296401248604981,0.593454681193154,0.0331062636326912,41,0.97006452300739,node
auc_degree,theta,detail,11,7Networks_LH_SomMot_2,-0.208039613848645,-0.491311789384517,0.115033795256177,0.203765738891205,41,0.97006452300739,node
auc_degree,theta,communication,11,7Networks_LH_SomMot_2,0.176692605524144,-0.147026658160259,0.466222908509673,0.281910196316582,41,0.97006452300739,node
auc_degree,theta,imagination,11,7Networks_LH_SomMot_2,0.0921261472229001,-0.230084371165586,0.396133837232622,0.57698265367774,41,0.97006452300739,node
auc_degree,theta,total,12,7Networks_LH_SomMot_3,0.0181254711867689,-0.299107579222058,0.331750647692871,0.912790374850036,41,0.97006452300739,node
auc_degree,theta,social,12,7Networks_LH_SomMot_3,0.285139216849536,-0.0333869946811731,0.551082021587438,0.0784943303320216,41,0.97006452300739,node
auc_degree,theta,switching,12,7Networks_LH_SomMot_3,-0.0492737992742455,-0.359211596316743,0.270453393172338,0.76579162366317,41,0.97006452300739,node
auc_degree,theta,detail,12,7Networks_LH_SomMot_3,-0.270101188512629,-0.53963438839918,0.049652830375481,0.0963180724734191,41,0.97006452300739,node
auc_degree,theta,communication,12,7Networks_LH_SomMot_3,0.111011277750365,-0.211934513500621,0.412099316225157,0.501078562471341,41,0.97006452300739,node
auc_degree,theta,imagination,12,7Networks_LH_SomMot_3,-0.0923197105800945,-0.396298413347796,0.22989947402803,0.576179102190993,41,0.97006452300739,node
auc_degree,theta,total,13,7Networks_LH_SomMot_4,-0.126958089358653,-0.425438284232937,0.196433109523795,0.441192220710756,41,0.97006452300739,node
auc_degree,theta,social,13,7Networks_LH_SomMot_4,-0.183186028769003,-0.471458510384691,0.140454606155171,0.264313442829185,41,0.97006452300739,node
auc_degree,theta,switching,13,7Networks_LH_SomMot_4,0.103371034904252,-0.219304222109433,0.405662452097484,0.531164259090383,41,0.97006452300739,node
