quantity,band,aqvar,node,roi,r,ci_lo,ci_hi,p,n,q4,level
auc_degree,theta,detail,4,7Networks_LH_Vis_4,0.323208090727939,-0.000911934160669054,0.585875431763902,0.0510275256866108,39,0.757636026593007,node
auc_degree,theta,communication,4,7Networks_LH_Vis_4,0.0381427128495693,-0.289459285336837,0.357745790732148,0.822655199797645,39,0.942818318869211,node
auc_degree,theta,imagination,4,7Networks_LH_Vis_4,0.039222946408923,-0.288467767547753,0.358688820190135,0.817715976540651,39,0.942818318869211,node
auc_degree,theta,total,5,7Networks_LH_Vis_5,0.0726805156632941,-0.25740598503014,0.387577482055764,0.669022058242275,39,0.918912981529782,node
auc_degree,theta,social,5,7Networks_LH_Vis_5,-0.16740422534903,-0.466143679752342,0.165603117209409,0.322007170726474,39,0.757636026593007,node
auc_degree,theta,switching,5,7Networks_LH_Vis_5,-0.0199760564360655,-0.341788272951604,0.306029309746516,0.906582181970594,39,0.984274784571752,node
auc_degree,theta,detail,5,7Networks_LH_Vis_5,0.308958100886219,-0.016742512490916,0.575381208293294,0.0627966813407845,39,0.757636026593007,node
auc_degree,theta,communication,5,7Networks_LH_Vis_5,0.133134936276012,-0.199495622616066,0.438253640007563,0.432137470377624,39,0.833881402938482,node
auc_degree,theta,imagination,5,7Networks_LH_Vis_5,-0.0198698357096943,-0.341694420188557,0.306125617579472,0.907076762252399,39,0.984274784571752,node
auc_degree,theta,total,6,7Networks_LH_Vis_6,-0.0436777778380287,-0.362570950893037,0.284371356866333,0.797421869117649,39,0.942818318869211,node
auc_degree,theta,social,6,7Networks_LH_Vis_6,-0.166202193335577,-0.465175352909857,0.166805395836776,0.325543756477717,39,0.757636026593007,node
auc_degree,theta,switching,6,7Networks_LH_Vis_6,-0.079249847285331,-0.393177991846878,0.251225875731496,0.641038658934848,39,0.918912981529782,node
auc_degree,theta,detail,6,7Networks_LH_Vis_6,0.210248462505845,-0.122093776721607,0.500196750568969,0.211659991520681,39,0.757636026593007,node
auc_degree,theta,communication,6,7Networks_LH_Vis_6,0.00211326554296733,-0.322131834627491,0.325914616000888,0.990095881988231,39,0.995178962608543,node
auc_degree,theta,imagination,6,7Networks_LH_Vis_6,-0.0711350817677517,-0.386256577083183,0.258855941483548,0.675671309948369,39,0.918912981529782,node
auc_degree,theta,total,7,7Networks_LH_Vis_7,-0.121392961535088,-0.428560361791359,0.210928274108065,0.474167856572862,39,0.833881402938482,node
auc_degree,theta,social,7,7Networks_LH_Vis_7,-0.186464343450846,-0.481402968565537,0.14640587649479,0.269152993097059,39,0.757636026593007,node
auc_degree,theta,switching,7,7Networks_LH_Vis_7,0.0714839967672694,-0.258528712500699,0.386554912844626,0.674167959385503,39,0.918912981529782,node
auc_degree,theta,detail,7,7Networks_LH_Vis_7,0.0277330025745912,-0.29897818754364,0.3486247210121,0.870570031916144,39,0.984274784571752,node
auc_degree,theta,communication,7,7Networks_LH_Vis_7,-0.0983405984391377,-0.409322164208935,0.233111980541317,0.562550104900059,39,0.889840209453064,node
auc_degree,theta,imagination,7,7Networks_LH_Vis_7,-0.172045176566652,-0.469875609167277,0.160951906610691,0.308578788733913,39,0.757636026593007,node
auc_degree,theta,total,8,7Networks_LH_Vis_8,-0.0765447663659576,-0.390874664376797,0.253773952387068,0.652505248662607,39,0.918912981529782,node
auc_degree,theta,social,8,7Networks_LH_Vis_8,-0.197805665673773,-0.49039863211524,0.134862731289574,0.240576370029769,39,0.757636026593007,node
auc_degree,theta,switching,8,7Networks_LH_Vis_8,-0.0839529949778981,-0.397173278663544,0.246784769330266,0.621297395358363,39,0.918912981529782,node
auc_degree,theta,detail,8,7Networks_LH_Vis_8,0.275427151743061,-0.0533594399647898,0.550336783017209,0.0989545270810579,39,0.757636026593007,node
auc_degree,theta,communication,8,7Networks_LH_Vis_8,-0.180163609977292,-0.47637838582369,0.152779802270034,0.285953595686108,39,0.757636026593007,node
auc_degree,theta,imagination,8,7Networks_LH_Vis_8,0.00677756793975244,-0.317945191366855,0.33007720642407,0.96824321206634,39,0.995178962608543,node
auc_degree,theta,total,9,7Networks_LH_Vis_9,0.121472718553404,-0.210850923632052,0.4286264424807,0.473875315266992,39,0.833881402938482,node
auc_degree,theta,social,9,7Networks_LH_Vis_9,-0.135356260109785,-0.440079447295329,0.19732258156986,0.424425544194316,39,0.833881402938482,node
auc_degree,theta,switching,9,7Networks_LH_Vis_9,0.107736177276212,-0.224111902128648,0.417196709704194,0.52562902737631,39,0.864744528909413,node
auc_degree,theta,detail,9,7Networks_LH_Vis_9,0.218187694947476,-0.113888535788508,0.506409961290561,0.194518473139083,39,0.757636026593007,node
auc_degree,theta,communication,9,7Networks_LH_Vis_9,0.172294696410705,-0.160701415470642,0.470075954491017,0.307866998966939,39,0.757636026593007,node
auc_degree,theta,imagination,9,7Networks_LH_Vis_9,0.00102865709392216,-0.323103557035636,0.324944870123447,0.995178962608543,39,0.995178962608543,node
auc_degree,theta,total,10,7Networks_LH_SomMot_1,0.00687091538593534,-0.317861273935676,0.330160384886751,0.967806051365219,39,0.98863032884625,node
auc_degree,theta,social,10,7Networks_LH_SomMot_1,-0.0272413532289639,-0.348192425644337,0.299426161947766,0.872845713795646,39,0.98863032884625,node
auc_degree,theta,switching,10,7Networks_LH_SomMot_1,0.0104555383220587,-0.314634918278325,0.333350716277993,0.951026884359373,39,0.98863032884625,node
auc_degree,theta,detail,10,7Networks_LH_SomMot_1,-0.00917944561948666,-0.332215834757413,0.315784332838116,0.956998102760306,39,0.98863032884625,node
auc_degree,theta,communication,10,7Networks_LH_SomMot_1,0.099768033471341,-0.231748280663217,0.410521506452637,0.556864573957194,39,0.98863032884625,node
auc_degree,theta,imagination,10,7Networks_LH_SomMot_1,-0.0599641385521835,-0.376670016607303,0.269292698972061,0.724428780579117,39,0.98863032884625,node
auc_degree,theta,total,11,7Networks_LH_SomMot_2,0.0533708263820735,-0.275416599015165,0.370979823415294,0.753731271565452,39,0.98863032884625,node
auc_degree,theta,social,11,7Networks_LH_SomMot_2,-0.0338612639087821,-0.354001720031411,0.293382210888127,0.842295976037559,39,0.98863032884625,node
auc_degree,theta,switching,11,7Networks_LH_SomMot_2,0.0237911648655374,-0.302565811451285,0.345154913422628,0.888842810693306,39,0.98863032884625,node
auc_degree,theta,detail,11,7Networks_LH_SomMot_2,-0.00314406767242443,-0.326835622684851,0.321207684712461,0.985265321117665,39,0.98863032884625,node
auc_degree,theta,communication,11,7Networks_LH_SomMot_2,0.16968226807732,-0.163321888310202,0.467976852334355,0.315370848334058,39,0.98863032884625,node
auc_degree,theta,imagination,11,7Networks_LH_SomMot_2,0.010441128074922,-0.314647903339822,0.333337905876409,0.951094300130729,39,0.98863032884625,node
