metric,band,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
aec_beta_auc_gcc,beta,switching,-0.0246284082910536,-0.3458926335094,0.301804575496522,0.884956634413292,39,0.925383486709399,global,open_aec
aec_beta_auc_gcc,beta,detail,0.151471138235425,-0.181459479309457,0.453249984922117,0.370830619199976,39,0.925383486709399,global,open_aec
aec_beta_auc_gcc,beta,communication,-0.179516048588949,-0.475860882805527,0.153433320082719,0.287717852764403,39,0.925383486709399,global,open_aec
aec_beta_auc_gcc,beta,imagination,-0.0282544650317079,-0.349083081176317,0.298502891015089,0.868157474991382,39,0.925383486709399,global,open_aec
aec_gamma_auc_gcc,gamma,total,0.049182931711262,-0.279292527352953,0.367353137742573,0.772524109646347,39,0.962437834539593,global,open_aec
aec_gamma_auc_gcc,gamma,social,-0.130551697022268,-0.436127186580412,0.20201860453577,0.441202687129771,39,0.962437834539593,global,open_aec
aec_gamma_auc_gcc,gamma,switching,0.00801736649665928,-0.31683022289307,0.331181535818706,0.962437834539593,39,0.962437834539593,global,open_aec
aec_gamma_auc_gcc,gamma,detail,0.239941708341597,-0.0911710906082565,0.523282579645954,0.152600101083138,39,0.915600606498826,global,open_aec
aec_gamma_auc_gcc,gamma,communication,-0.0320884011339645,-0.352448364802731,0.295003396113394,0.850457095708846,39,0.962437834539593,global,open_aec
aec_gamma_auc_gcc,gamma,imagination,0.0980301058256055,-0.233408437099453,0.40906114346468,0.563790348541413,39,0.962437834539593,global,open_aec
aec_theta_auc_geff,theta,total,0.0139772949206166,-0.311457813689236,0.336477911518251,0.934562145493312,39,0.975621748226396,global,open_aec
aec_theta_auc_geff,theta,social,-0.108737416553269,-0.418033129420814,0.223149460317254,0.521765670940025,39,0.975621748226396,global,open_aec
aec_theta_auc_geff,theta,switching,0.00663136542726432,-0.318076614190029,0.329946920673017,0.968927919611237,39,0.975621748226396,global,open_aec
aec_theta_auc_geff,theta,detail,-0.0652996998428767,-0.381257309749677,0.264317434949573,0.700993382901217,39,0.975621748226396,global,open_aec
aec_theta_auc_geff,theta,communication,0.248929370851157,-0.0816836925190084,0.530189240681453,0.137356284806201,39,0.824137708837204,global,open_aec
aec_theta_auc_geff,theta,imagination,-0.00520229287438685,-0.328672779324986,0.319360564236552,0.975621748226396,39,0.975621748226396,global,open_aec
aec_alpha_auc_geff,alpha,total,0.00799561235793806,-0.316849794440821,0.331162166319028,0.962539683106182,39,0.993853346032123,global,open_aec
aec_alpha_auc_geff,alpha,social,-0.01880792062207,-0.340755797726063,0.307088064335964,0.912023069054407,39,0.993853346032123,global,open_aec
aec_alpha_auc_geff,alpha,switching,-0.0640317864874096,-0.38016861827552,0.265501320550418,0.70653878622893,39,0.993853346032123,global,open_aec
aec_alpha_auc_geff,alpha,detail,0.146037689665897,-0.18682746775944,0.448823953808842,0.388434023815384,39,0.993853346032123,global,open_aec
aec_alpha_auc_geff,alpha,communication,-0.0364303168946219,-0.356249555029633,0.291029609007914,0.830498618602333,39,0.993853346032123,global,open_aec
aec_alpha_auc_geff,alpha,imagination,-0.00131150657271197,-0.32519783085245,0.322850212390303,0.993853346032123,39,0.993853346032123,global,open_aec
