cond,unit,family,aqvar,N,brain_component,R2_base,R2_main,dR2_main,std_beta,dR2_main_p_asy,dR2_main_p_permFL,dR2_boot_lo,dR2_boot_hi,R2_inter,dR2_inter,inter_p_asy,inter_p_permFL,slope_male,slope_male_p,slope_female,slope_female_p,maxCookD,dR2_excl_maxD,dR2_excl_maxD_p,q2_base,q2_unit,dq2,q_unit,q_inter
open,U1 detail x AEC visual-beta degree + gamma global,confirm,detail,39,PC1[net:Vis:beta:deg(AEC)=0.47 node55(RH_Vis_5):beta:deg=0.46 node54(RH_Vis_4):beta:deg=0.42 node58(RH_Vis_8):beta:deg=0.46 node5(LH_Vis_5):beta:deg=0.43 ],0.0398773843276102,0.369844478293366,0.329967093965756,0.585282760241142,0.000137459224823249,0.00599700149925037,0.132832599832893,0.509722821406048,0.380146689109485,0.0103022108161188,0.45738762429377,0.672663668165917,NaN,NaN,NaN,NaN,0.241723927786188,0.337442368825808,0.000102792590863562,-0.160356024912851,-0.0774605436282829,0.0828954812845681,0.0186573379976678,0.719140429785107
open,U2 switching x attention/control node degree,confirm,switching,39,node82(RH_Cont_Par_2):beta:deg,0.108002727618268,0.398357688912656,0.290354961294388,0.547657798682039,0.000226913010244203,0.0189905047476262,0.076649510018288,0.502150193044295,0.458868235318001,0.0605105464053448,0.0594782748402367,0.450774612693653,1.90613419104707,0.000943036785115329,0.776446367092743,0.102115354727025,0.237299500688243,0.362187566242008,2.77223452009026e-05,-0.0562267995538881,0.0328407796865018,0.0890675792403899,0.0189905047476262,0.719140429785107
open,U3 communication x node42 / Cont network,confirm,communication,39,node42(LH_Default_PFC_1):alpha:cc,0.00863302481602735,0.352337705729395,0.343704680913368,0.594564061846406,0.000126297193112902,0.00299850074962519,0.093721937830903,0.550117434595725,0.495977231834114,0.143639526104719,0.00374476962637546,0.185407296351824,2.20397232128886,1.03176508921825e-05,0.585062454953752,0.126022470187242,0.0926928224272328,0.388059353564135,3.90872541222666e-05,-0.168979881894663,-0.0404907923374827,0.12848908955718,0.0186573379976678,0.719140429785107
open,U0 imagination x theta segregation [EXPLORATORY TREND],explor,imagination,39,PC1[g:theta:gcc=-0.53 g:theta:sw=-0.53 net:Default:theta:cc=-0.47 net:SalVentAttn:theta:cc=-0.47 ],0.0522675321483441,0.202115844557103,0.149848312408759,0.400290001358784,0.0148042833834703,0.169915042478761,0.0108891024294769,0.375904957133544,0.214893790397318,0.0127779458402146,0.462056322663283,0.701149425287356,NaN,NaN,NaN,NaN,0.263576561876185,0.211745893450357,0.00365477642386937,-0.114481559546125,-0.270656411205174,-0.156174851659048,NaN,NaN
closed,U1 detail x AEC visual-beta degree + gamma global,confirm,detail,41,PC1[g:gamma:gcc(AEC)=0.66 g:gamma:sw(AEC)=0.66 node65(RH_SomMot_7):beta:deg=-0.38 ],0.0270213087217653,0.299911954812143,0.272890646090377,0.560948861314208,0.000526375041507711,0.0119940029985007,0.090491249945537,0.462192814806829,0.336625086349957,0.036713131537814,0.166680702587857,0.572213893053473,NaN,NaN,NaN,NaN,0.188447988097909,0.257215272887548,0.000714689427499208,-0.165921245308419,-0.0931987991501764,0.072722446158243,0.0186573379976678,0.719140429785107
closed,U2 switching x attention/control node degree,confirm,switching,41,PC1[node89(RH_Cont_pCun_1):alpha:deg=-0.71 node19(LH_DorsAttn_Post_4):alpha:cc=-0.71 ],0.119758302454603,0.431126994981973,0.31136869252737,0.564608442226265,6.52753315854559e-05,0.0104947526236882,0.136879798628336,0.481636348740122,0.476414855149171,0.0452878601671982,0.086113215939686,0.498750624687656,1.72846061526132,0.00484695557799437,0.93134494271142,0.000692964167508311,0.0913959991266767,0.310719465250614,0.000146629332631218,-0.0331680539726935,-0.204270829700504,-0.171102775727811,0.0186573379976678,0.719140429785107
closed,U3 communication x node42 / Cont network,confirm,communication,41,net:Cont:beta:deg(AEC),0.0110712200131282,0.279691757192436,0.268620537179308,0.527527456512391,0.000668916878929297,0.0139930034982509,0.0814364494788353,0.454441787897773,0.298902306107982,0.0192105489155456,0.32724700543228,0.652673663168416,NaN,NaN,NaN,NaN,0.106984195672616,0.262575223484045,0.000818253686226963,-0.158885174786439,-0.167215264186388,-0.00833008939994939,0.0186573379976678,0.719140429785107
closed,U4 imagination x DorsAttn FEF gamma cc,confirm,imagination,41,node23(LH_DorsAttn_FEF_1):gamma:cc,0.0482938401602702,0.315634013881156,0.267340173720885,0.537081822979538,0.000520145948632028,0.015992003998001,0.0834335239927641,0.466697119052686,0.315662166162205,2.8152281049354e-05,0.969514935117351,0.719140429785107,NaN,NaN,NaN,NaN,0.100436719053997,0.313748465376762,0.000154173091599719,-0.112918296713811,-0.268714658139737,-0.155796361425926,0.0186573379976678,0.719140429785107
