metric,band,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
dwpli_beta_auc_geff,beta,total,0.0505594559675091,-0.269258383293349,0.360333638016509,0.759858680244145,41,0.759858680244145,global,closed_dwpli
dwpli_beta_auc_geff,beta,social,0.115505832910914,-0.207581879307052,0.415871966658286,0.483793756158476,41,0.759858680244145,global,closed_dwpli
dwpli_beta_auc_geff,beta,switching,0.0740162621131596,-0.247281146757267,0.380649117682005,0.654292043292545,41,0.759858680244145,global,closed_dwpli
dwpli_beta_auc_geff,beta,detail,0.0564163954068744,-0.263801903415059,0.365433894535392,0.733006288034271,41,0.759858680244145,global,closed_dwpli
dwpli_beta_auc_geff,beta,communication,-0.19640415891386,-0.482053779684608,0.126987716236684,0.230780098733634,41,0.759858680244145,global,closed_dwpli
dwpli_beta_auc_geff,beta,imagination,0.0611587675127565,-0.259368717635824,0.369550029889396,0.711489454504604,41,0.759858680244145,global,closed_dwpli
dwpli_gamma_auc_geff,gamma,total,-0.242025365251005,-0.517991678208384,0.0795736911288965,0.137691561785306,41,0.401253430871256,global,closed_dwpli
dwpli_gamma_auc_geff,gamma,social,0.0428459462334409,-0.276413302202504,0.35358829244941,0.795645963375555,41,0.795645963375554,global,closed_dwpli
dwpli_gamma_auc_geff,gamma,switching,-0.181988678704051,-0.470494621011324,0.141668603313317,0.267502287247504,41,0.401253430871256,global,closed_dwpli
dwpli_gamma_auc_geff,gamma,detail,-0.13019002972613,-0.428125979204851,0.193271614256471,0.429554262768697,41,0.515465115322436,global,closed_dwpli
dwpli_gamma_auc_geff,gamma,communication,-0.202569962746328,-0.48696769732396,0.120664831041505,0.2161760107064,41,0.401253430871256,global,closed_dwpli
dwpli_gamma_auc_geff,gamma,imagination,-0.281693076110085,-0.548467473794752,0.0371294651978368,0.0823319268213571,41,0.401253430871256,global,closed_dwpli
dwpli_theta_auc_cpl,theta,total,-0.187338158286351,-0.474795725975853,0.136237196277487,0.253450555636381,41,0.380175833454572,global,closed_dwpli
dwpli_theta_auc_cpl,theta,social,-0.138155644947619,-0.434727791382914,0.185450837358104,0.401613203775148,41,0.481935844530177,global,closed_dwpli
dwpli_theta_auc_cpl,theta,switching,-0.373841283294009,-0.616629061289522,-0.0661177697813078,0.0190578943034961,41,0.114347365820977,global,closed_dwpli
dwpli_theta_auc_cpl,theta,detail,0.238891332257924,-0.0828781095095371,0.515553634294209,0.143019489884191,41,0.349627456076095,global,closed_dwpli
dwpli_theta_auc_cpl,theta,communication,-0.0359539892674507,-0.347533919550933,0.282776364298757,0.82797654442587,41,0.82797654442587,global,closed_dwpli
dwpli_theta_auc_cpl,theta,imagination,-0.221776161719013,-0.502159805142624,0.100799796452944,0.174813728038048,41,0.349627456076095,global,closed_dwpli
dwpli_alpha_auc_cpl,alpha,total,-0.148575788978665,-0.443316033775915,0.175157893750027,0.366689540722096,41,0.803114283629856,global,closed_dwpli
dwpli_alpha_auc_cpl,alpha,social,-0.102310299440311,-0.404766411386461,0.220324495187628,0.535409522419904,41,0.803114283629856,global,closed_dwpli
dwpli_alpha_auc_cpl,alpha,switching,-0.0327313614175232,-0.344693997409118,0.285742090377797,0.843193985452999,41,0.901420192583762,global,closed_dwpli
dwpli_alpha_auc_cpl,alpha,detail,0.0204995726736737,-0.296943536748089,0.333862580489993,0.901420192583762,41,0.901420192583762,global,closed_dwpli
dwpli_alpha_auc_cpl,alpha,communication,-0.122423354174245,-0.421658282076459,0.200857696003166,0.457809454542333,41,0.803114283629856,global,closed_dwpli
dwpli_alpha_auc_cpl,alpha,imagination,-0.220886908448598,-0.501460205967544,0.101725267908777,0.176593606937016,41,0.803114283629856,global,closed_dwpli
dwpli_beta_auc_cpl,beta,total,0.0784467328680408,-0.243092681885317,0.384453313739488,0.635005629288059,41,0.968418069549324,global,closed_dwpli
dwpli_beta_auc_cpl,beta,social,0.0424044726041127,-0.276821737570943,0.353201250301017,0.797707495780576,41,0.968418069549324,global,closed_dwpli
dwpli_beta_auc_cpl,beta,switching,0.00655300641876972,-0.30960960500408,0.321410906781475,0.968418069549324,41,0.968418069549324,global,closed_dwpli
dwpli_beta_auc_cpl,beta,detail,-0.0115954434912817,-0.3259254613642,0.305043050171028,0.944146075877277,41,0.968418069549324,global,closed_dwpli
dwpli_beta_auc_cpl,beta,communication,0.246863526066145,-0.0744585825523618,0.521746623289225,0.129756725143626,41,0.778540350861759,global,closed_dwpli
dwpli_beta_auc_cpl,beta,imagination,-0.080358757398348,-0.386091857444652,0.241281386551426,0.626754196496962,41,0.968418069549324,global,closed_dwpli
dwpli_gamma_auc_cpl,gamma,total,-0.0928939682028499,-0.396786557621546,0.229350790164219,0.573798135824976,41,0.860697203737464,global,closed_dwpli
dwpli_gamma_auc_cpl,gamma,social,0.139509749367973,-0.184117265076917,0.435846896900966,0.396969771206994,41,0.860697203737464,global,closed_dwpli
dwpli_gamma_auc_cpl,gamma,switching,-0.0980849411577867,-0.401191327531909,0.224381679611289,0.552481151859697,41,0.860697203737464,global,closed_dwpli
