quantity,band,network,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
auc_degree,theta,Vis,total,-0.0634690157741497,-0.379685115371428,0.266026476806972,0.709004947761194,39,0.926112454436775,network,open_aec
auc_degree,theta,Vis,social,-0.257415003100172,-0.536676034078032,0.0726709086631458,0.124023419076623,39,0.578775955690907,network,open_aec
auc_degree,theta,Vis,switching,-0.0250958372457141,-0.34630432635541,0.301379400007584,0.882788145941347,39,0.972624555604369,network,open_aec
auc_degree,theta,Vis,detail,0.181317417355319,-0.151614659815133,0.477299950376139,0.282827452785959,39,0.714834540383468,network,open_aec
auc_degree,theta,Vis,communication,-0.0036250331568161,-0.327265148078582,0.320776270976145,0.983011579688044,39,0.985636415682115,network,open_aec
auc_degree,theta,Vis,imagination,-0.027132553493501,-0.348096742220378,0.29952527716112,0.87334944838325,39,0.972624555604369,network,open_aec
auc_degree,theta,SomMot,total,0.204374793598172,-0.128135149682097,0.495580745626093,0.224995241970989,39,0.714834540383468,network,open_aec
auc_degree,theta,SomMot,social,0.280929715738484,-0.0474104925396576,0.554480885576909,0.0921260956208961,39,0.575837735486425,network,open_aec
auc_degree,theta,SomMot,switching,0.0910763108192491,-0.240031777308117,0.403201955319394,0.591891246907409,39,0.920719717411525,network,open_aec
auc_degree,theta,SomMot,detail,-0.0592330602191227,-0.376040253637791,0.269973043103437,0.727659785628895,39,0.926112454436775,network,open_aec
auc_degree,theta,SomMot,communication,0.103541267308829,-0.228137236779155,0.413686638476126,0.5419659744133,39,0.910502837014345,network,open_aec
auc_degree,theta,SomMot,imagination,0.128615387049362,-0.203906857710864,0.434531027205128,0.44806540494423,39,0.817248466729069,network,open_aec
auc_degree,theta,DorsAttn,total,0.400750109724085,0.0881754199265978,0.641477005074036,0.0139711897378011,39,0.338794822626221,network,open_aec
auc_degree,theta,DorsAttn,social,0.290310812572536,-0.0372143839056566,0.561514853797946,0.0813262727749331,39,0.575837735486425,network,open_aec
auc_degree,theta,DorsAttn,switching,0.304649020009489,-0.0214976102102456,0.572190471775284,0.0667492886468214,39,0.575837735486425,network,open_aec
auc_degree,theta,DorsAttn,detail,-0.131341853883844,-0.436777985043233,0.201247347390437,0.438418832928454,39,0.817248466729069,network,open_aec
auc_degree,theta,DorsAttn,communication,0.392955643432681,0.078988514409817,0.636000021310527,0.0161330867917248,39,0.338794822626221,network,open_aec
auc_degree,theta,DorsAttn,imagination,0.275077589819844,-0.0537365725848096,0.550073061853473,0.0994010206443879,39,0.575837735486425,network,open_aec
auc_degree,theta,SalVentAttn,total,-0.0596523307091658,-0.376401455971385,0.26958290867209,0.725806246856258,39,0.926112454436775,network,open_aec
auc_degree,theta,SalVentAttn,social,0.0401536686562716,-0.287612918244833,0.359500805641608,0.813465910111586,39,0.949043561796851,network,open_aec
auc_degree,theta,SalVentAttn,switching,-0.080056327535047,-0.393863933593925,0.250465316605058,0.637635702631337,39,0.92347239691435,network,open_aec
auc_degree,theta,SalVentAttn,detail,0.00306487568212094,-0.321278704996339,0.326764887591225,0.985636415682115,39,0.985636415682115,network,open_aec
auc_degree,theta,SalVentAttn,communication,-0.0410007779245544,-0.360239424881327,0.286834411508584,0.809602213313074,39,0.949043561796851,network,open_aec
