quantity,band,aqvar,node,roi,r,ci_lo,ci_hi,p,n,q4,level
auc_degree,theta,total,1,7Networks_LH_Vis_1,0.0363642649731779,-0.291090145481008,0.356191808145234,0.830801490164936,39,0.953050314583942,node
auc_degree,theta,social,1,7Networks_LH_Vis_1,0.194171894771184,-0.138571023232022,0.487523184663198,0.249500254562177,39,0.927278149441688,node
auc_degree,theta,switching,1,7Networks_LH_Vis_1,-0.00894519395112975,-0.332007403492217,0.315995226706317,0.958094496474268,39,0.966384760547901,node
auc_degree,theta,detail,1,7Networks_LH_Vis_1,0.0473634701935861,-0.280973123910961,0.365774476911297,0.780729426131302,39,0.953050314583942,node
auc_degree,theta,communication,1,7Networks_LH_Vis_1,-0.0850607843916994,-0.398112612641849,0.245736676228447,0.616684526932067,39,0.951303789976841,node
auc_degree,theta,imagination,1,7Networks_LH_Vis_1,-0.127778642257496,-0.433840677819557,0.204722070686447,0.451048860912588,39,0.927278149441688,node
auc_degree,theta,total,2,7Networks_LH_Vis_2,0.0722613884439597,-0.257799365376189,0.387219375633004,0.670822933499558,39,0.953050314583942,node
auc_degree,theta,social,2,7Networks_LH_Vis_2,-0.0133332072531867,-0.335906515451905,0.312039412723632,0.937571551797177,39,0.966384760547901,node
auc_degree,theta,switching,2,7Networks_LH_Vis_2,0.175389860879452,-0.157590632198927,0.472558585992032,0.299124094966331,39,0.927278149441688,node
auc_degree,theta,detail,2,7Networks_LH_Vis_2,0.132905183071358,-0.199720195356398,0.438064651588617,0.432939524469543,39,0.927278149441688,node
auc_degree,theta,communication,2,7Networks_LH_Vis_2,0.0672031322328143,-0.262538280749084,0.382890044790247,0.692697053176455,39,0.953050314583942,node
auc_degree,theta,imagination,2,7Networks_LH_Vis_2,-0.235415978153065,-0.519790587031606,0.0959258162589773,0.160726163812794,39,0.927278149441688,node
auc_degree,theta,total,3,7Networks_LH_Vis_3,0.180669507337748,-0.152269048861679,0.476782534338863,0.284580171938069,39,0.927278149441688,node
auc_degree,theta,social,3,7Networks_LH_Vis_3,0.15197990411297,-0.180955824934134,0.453663659841779,0.369206943484006,39,0.927278149441688,node
auc_degree,theta,switching,3,7Networks_LH_Vis_3,0.178307658433123,-0.154652046951471,0.474894640701542,0.291028805891858,39,0.927278149441688,node
auc_degree,theta,detail,3,7Networks_LH_Vis_3,0.139338108126058,-0.193419083490263,0.443346015428123,0.410795936694023,39,0.927278149441688,node
auc_degree,theta,communication,3,7Networks_LH_Vis_3,0.0635034393335241,-0.26599435966358,0.379714695238463,0.708854013507504,39,0.953050314583942,node
auc_degree,theta,imagination,3,7Networks_LH_Vis_3,-0.104375283645931,-0.414385232847426,0.227337836819178,0.538698731610706,39,0.927278149441688,node
auc_degree,theta,total,4,7Networks_LH_Vis_4,-0.196458512824224,-0.489333356119263,0.13623859927837,0.243859298409998,39,0.927278149441688,node
auc_degree,theta,social,4,7Networks_LH_Vis_4,-0.181870359071527,-0.477741363189227,0.151055957830673,0.281337186360043,39,0.927278149441688,node
auc_degree,theta,switching,4,7Networks_LH_Vis_4,0.0359153311832531,-0.29150152306632,0.355799256296434,0.832860646131984,39,0.953050314583942,node
auc_degree,theta,detail,4,7Networks_LH_Vis_4,-0.0522167843194677,-0.369981397661422,0.276485741746189,0.758896539393497,39,0.953050314583942,node
auc_degree,theta,communication,4,7Networks_LH_Vis_4,-0.107150789584655,-0.41670744295891,0.224674306677513,0.52789425191844,39,0.927278149441688,node
auc_degree,theta,imagination,4,7Networks_LH_Vis_4,-0.290530086184914,-0.561678798221653,0.0369752418090789,0.0810861450865785,39,0.927278149441688,node
auc_degree,theta,total,5,7Networks_LH_Vis_5,-0.114959961634305,-0.423219616358749,0.217153493080265,0.498072949334599,39,0.927278149441688,node
auc_degree,theta,social,5,7Networks_LH_Vis_5,-0.0965713805569995,-0.407834160301221,0.234800395347949,0.569633935568757,39,0.936725128905287,node
auc_degree,theta,switching,5,7Networks_LH_Vis_5,0.131233358888156,-0.201353271730072,0.43668864402712,0.438800505875006,39,0.927278149441688,node
auc_degree,theta,detail,5,7Networks_LH_Vis_5,-0.116520348170502,-0.424517036880471,0.215645983403895,0.492218814758749,39,0.927278149441688,node
auc_degree,theta,communication,5,7Networks_LH_Vis_5,-0.0173404461905808,-0.33945764585683,0.308416985950922,0.918863766367977,39,0.966384760547901,node
auc_degree,theta,imagination,5,7Networks_LH_Vis_5,-0.287820283313822,-0.559651262876955,0.0399279509463626,0.0840925564150848,39,0.927278149441688,node
auc_degree,theta,total,6,7Networks_LH_Vis_6,0.165856648149192,-0.167150828763503,0.464896857907408,0.326564863290684,39,0.927278149441688,node
auc_degree,theta,social,6,7Networks_LH_Vis_6,0.042576929769248,-0.285384749908725,0.361612653169239,0.802425190730201,39,0.953050314583942,node
auc_degree,theta,switching,6,7Networks_LH_Vis_6,0.317389765267316,-0.00739530346721889,0.581601214900729,0.0555991068365196,39,0.927278149441688,node
auc_degree,theta,detail,6,7Networks_LH_Vis_6,0.110572406095048,-0.221383894340558,0.419564691099511,0.514721679906005,39,0.927278149441688,node
auc_degree,theta,communication,6,7Networks_LH_Vis_6,0.0682126248155294,-0.26159378883788,0.383755172368459,0.688311255179945,39,0.953050314583942,node
auc_degree,theta,imagination,6,7Networks_LH_Vis_6,-0.150841824582245,-0.452738113324384,0.182082228789664,0.372844865103233,39,0.927278149441688,node
auc_degree,theta,total,7,7Networks_LH_Vis_7,-0.0777444045736753,-0.391896620640081,0.252644507251496,0.647410198101544,39,0.953050314583942,node
auc_degree,theta,social,7,7Networks_LH_Vis_7,-0.0341590448240522,-0.354262457972536,0.293109721920797,0.840926748162302,39,0.953050314583942,node
auc_degree,theta,switching,7,7Networks_LH_Vis_7,-0.0388054667879495,-0.358324443355513,0.288851044378795,0.819624036685293,39,0.953050314583942,node
auc_degree,theta,detail,7,7Networks_LH_Vis_7,0.0646966323614131,-0.264880659561355,0.380739596226433,0.703629106996699,39,0.953050314583942,node
