cond,unit,family,aqvar,N,brain_component,R2_base,R2_main,dR2_main,std_beta,dR2_main_p_asy,dR2_main_p_permFL,dR2_boot_lo,dR2_boot_hi,R2_inter,dR2_inter,inter_p_asy,inter_p_permFL,slope_male,slope_male_p,slope_female,slope_female_p,maxCookD,dR2_excl_maxD,dR2_excl_maxD_p,q2_base,q2_unit,dq2,q_unit,q_inter,dR2_main_p_permF,q_unit_F,inter_p_permF,q_inter_F,B_permutations,B_bootstrap,bootstrap_valid_draws
open,U1 detail x AEC visual-beta degree + gamma global,exploratory_fixed_units,detail,39,PC1[net:Vis:beta:deg(AEC)=0.47 node55(RH_Vis_5):beta:deg=0.46 node54(RH_Vis_4):beta:deg=0.42 node58(RH_Vis_8):beta:deg=0.46 node5(LH_Vis_5):beta:deg=0.43 ],0.0398773843276102,0.369844478293366,0.329967093965756,0.585282760241142,0.000137459224823249,9.99900009999e-05,0.129675055626528,0.513295958323823,0.380146689109485,0.0103022108161188,0.457387624293771,0.441355864413559,NaN,NaN,NaN,NaN,0.24172392778619,0.337442368825808,0.000102792590863562,-0.160356024912851,-0.0774605436282829,0.0828954812845681,0.00034996500349965,0.514915175149152,9.99900009999e-05,0.00034996500349965,0.459154084591541,0.535679765356798,10000,5000,5000
open,U2 switching x attention/control node degree,exploratory_fixed_units,switching,39,node82(RH_Cont_Par_2):beta:deg,0.108002727618268,0.398357688912656,0.290354961294388,0.547657798682039,0.000226913010244203,0.0001999800019998,0.0822856256030064,0.504936494153114,0.458868235318001,0.0605105464053448,0.0594782748402368,0.0497950204979502,1.90613419104707,0.000943036785115331,0.776446367092743,0.102115354727025,0.237299500688244,0.362187566242008,2.77223452009026e-05,-0.0562267995538881,0.0328407796865018,0.0890675792403899,0.0004666200046662,0.174282571742826,0.0001999800019998,0.0004666200046662,0.057994200579942,0.201813152018132,10000,5000,5000
open,U3 communication x node42 / Cont network,exploratory_fixed_units,communication,39,node42(LH_Default_PFC_1):alpha:cc,0.00863302481602735,0.352337705729395,0.343704680913368,0.594564061846406,0.000126297193112902,0.0002999700029997,0.102500544864874,0.557024110674873,0.495977231834114,0.143639526104719,0.00374476962637545,0.0041995800419958,2.20397232128886,1.03176508921825e-05,0.585062454953752,0.126022470187242,0.0926928224272329,0.388059353564135,3.90872541222666e-05,-0.168979881894663,-0.0404907923374827,0.12848908955718,0.000524947505249475,0.0293970602939706,0.0002999700029997,0.000524947505249475,0.0040995900409959,0.0286971302869713,10000,5000,5000
closed,U1 detail x AEC visual-beta degree + gamma global,exploratory_fixed_units,detail,41,PC1[g:gamma:gcc(AEC)=0.66 g:gamma:sw(AEC)=0.66 node65(RH_SomMot_7):beta:deg=-0.38 ],0.0270213087217653,0.299911954812143,0.272890646090377,0.560948861314208,0.00052637504150771,0.0006999300069993,0.045769518623619,0.474157736079456,0.336625086349957,0.036713131537814,0.166680702587858,0.153684631536846,NaN,NaN,NaN,NaN,0.188447988097908,0.257215272887548,0.000714689427499205,-0.165921245308419,-0.0931987991501764,0.072722446158243,0.0009332400093324,0.268948105189481,0.0010998900109989,0.0011998800119988,0.170582941705829,0.298520147985201,10000,5000,5000
closed,U2 switching x attention/control node degree,exploratory_fixed_units,switching,41,PC1[node89(RH_Cont_pCun_1):alpha:deg=-0.71 node19(LH_DorsAttn_Post_4):alpha:cc=-0.71 ],0.119758302454603,0.431126994981973,0.31136869252737,0.564608442226265,6.52753315854564e-05,9.99900009999e-05,0.12441263283969,0.474946262234637,0.476414855149171,0.0452878601671982,0.0861132159396862,0.0793920607939206,1.72846061526132,0.00484695557799438,0.93134494271142,0.000692964167508311,0.0913959991266763,0.310719465250614,0.000146629332631218,-0.0331680539726935,-0.204270829700504,-0.171102775727811,0.00034996500349965,0.185248141852481,9.99900009999e-05,0.00034996500349965,0.0864913508649135,0.201813152018132,10000,5000,5000
closed,U3 communication x node42 / Cont network,exploratory_fixed_units,communication,41,net:Cont:beta:deg(AEC),0.0110712200131282,0.279691757192436,0.268620537179308,0.527527456512391,0.000668916878929294,0.000999900009999,0.0854938503574083,0.454388133955594,0.298902306107982,0.0192105489155456,0.32724700543228,0.30996900309969,NaN,NaN,NaN,NaN,0.106984195672616,0.262575223484045,0.000818253686226961,-0.158885174786439,-0.167215264186388,-0.00833008939994939,0.000999900009999,0.433956604339566,0.0010998900109989,0.0011998800119988,0.328367163283672,0.45971402859714,10000,5000,5000
closed,U4 imagination x DorsAttn FEF gamma cc,exploratory_fixed_units,imagination,41,node23(LH_DorsAttn_FEF_1):gamma:cc,0.0482938401602702,0.315634013881156,0.267340173720885,0.537081822979538,0.000520145948632028,0.0007999200079992,0.0819191240473281,0.471467937005961,0.315662166162205,2.8152281049354e-05,0.969514935117351,0.96960303969603,NaN,NaN,NaN,NaN,0.100436719053997,0.313748465376762,0.000154173091599718,-0.112918296713811,-0.268714658139737,-0.155796361425926,0.0009332400093324,0.96960303969603,0.0011998800119988,0.0011998800119988,0.970802919708029,0.970802919708029,10000,5000,5000
